Название;Цвет;Длина;Ширина;Толщина;Бренд;Коллекция;Текстура
"Glacier White Flexstone";Белого;3680;760;12;Grandex;"серия Pure Color (Grandex)";Монотонная
"SB022 Bliss";Серого;3680;760;12;Staron;"Solid (Staron)";Монотонная
"BW010 Bright White";Белого;3680;760;12;Staron;"Solid (Staron)";Монотонная
"SD001 Dazzling White";Белого;3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"SI040 Ivory";Бежевого;3680;760;12;Staron;"Solid (Staron)";Монотонная
"SV041 Natural";Бежевого;3680;760;12;Staron;"Solid (Staron)";Монотонная
"SP011 Pearl";Белого;3680;760;12;Staron;"Solid (Staron)";Монотонная
"SC052 California Poppy";Оранжевого;3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"SF020 Fog";Серого;3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"Green Tea SG065";Зеленого;3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"SI056 Iris";Коричневого;3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"ON095 Onyx";—;3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"ST023 Steel";Серого;3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"SS042 Sunflower";Желтого;3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"SU053 Univers";"Красного / розового";3680;760;12;Staron;"Super Solid (Staron)";Светопроводящая
"SQ019 Quasar White";Белого;3680;760;12;Staron;"Solid (Staron)";Монотонная
"ST482 Sanded Tundra";Серого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SC457 Sanded Chestnut";Коричневого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SC433 Sanded Cornmeal";Светло-бежевого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SM421 Sanded Cream";Светло-бежевого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SG441 Gold Dust";Бежевого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SG420 Sanded Grey";Светло-серого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SI414 Sanded Icicle";Белого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SM453 Sanded Mocha";Коричневого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SO446 Sanded Oatmeal";Бежевого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SO423 Sanded Onyx";Черного;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SS440 Sanded Sahara";Светло-бежевого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SS418 Sanded Stratus";Серого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SV430  Sanded Vermillion";Коричневого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"WP410 Sanded White Pepper";Светло-серого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SG428 Sanded Goose ";Бежевого;3680;760;12;Staron;"Sanded (Staron)";Гранитная
"DN421 Dark Nebula";Серого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"SB412 Sanded Birch";Белого;3680;760;12;Staron;"Sanded (Staron)";Песчаная
"AB632 Aspen Brown";Коричневого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AG612 Aspen Glacier";Белого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AG614 Aspen Gold Rush";Светло-бежевого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AL650 Aspen Lava";Коричневого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AM633 Aspen Mine";Коричневого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AP640 Aspen Pepper";Серого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AS642 Aspen Seashell";Светло-бежевого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AS670 Aspen Sky";"Синего / Голубого";3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AS610 Aspen Snow ";Светло-серого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"AM681 Aspen Misto";Серого;3680;760;12;Staron;"Aspen (Staron)";Гранитная
"ES582 Metallic Sleeksilver";Серого;3680;760;12;Staron;"Metallic (Staron)";Металлик
"EC596 Metallic Cosmos";Черного;3680;760;12;Staron;"Metallic (Staron)";Металлик
"EG595 Metallic Galaxy";Черного;3680;760;12;Staron;"Metallic (Staron)";Металлик
"ES558 Metallic Satingold";Коричневого;3680;760;12;Staron;"Metallic (Staron)";Металлик
"EY510 Metallic Youkon";Белого;3680;760;12;Staron;"Metallic (Staron)";Металлик
"ES581 Metallic Sleeksilver";Серого;3680;760;12;Staron;"Metallic (Staron)";Металлик
"EB545 Metallic Beach";Светло-бежевого;3680;760;12;Staron;"Metallic (Staron)";Металлик
"PA860 Pebble Aqua";Зеленого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PB870 Pebble Blue";"Синего / Голубого";3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PC851 Pebble Copper";Коричневого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PE814 Pebble Ebony";Черного;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PG840 Pebble Gold";Бежевого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PG810 Pebble Grey";Серого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PI811 Pebble Ice";Белого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PK843 Pebble Kernel";Бежевого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PP868 Pebble Ponderosa";Зеленого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PR850 Pebble Rose";Серого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PS820 Pebble Saratoga";Светло-бежевого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PS813 Pebble Swan";Белого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"PT857 Pebble Terrain";Коричневого;3680;760;12;Staron;"Pebble (Staron)";Гранитная
"QS288 Quarry Starred (QS287)";Светло-серого;3680;760;12;Staron;"Quarry / Mosaic (Staron)";"Крупные вкрапления"
"TO310 Quarry (Talus) Oyster";Светло-бежевого;3680;760;12;Staron;"Quarry / Mosaic (Staron)";"Крупные вкрапления"
"QS287 Quarry Starred";Серого;3680;760;12;Staron;"Quarry / Mosaic (Staron)";Металлик
"QD212 Mosaic Dalmatian";Светло-серого;3680;760;12;Staron;"Quarry / Mosaic (Staron)";"Крупные вкрапления"
"QN287 Mosaic Nimbus";Черного;3680;760;12;Staron;"Quarry / Mosaic (Staron)";"Крупные вкрапления"
"QM 289 Quarry Minette";Серого;3680;760;12;Staron;"Quarry / Mosaic (Staron)";"Крупные вкрапления"
