Название;Цвет;Длина;Ширина;Толщина;Бренд;Коллекция;Текстура
"2141 Snow";Белого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"3100 Jet Black";Черного;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"6270 Atlantic Salt";Серого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";"Крупные вкрапления"
"4003 Sleek Concrete";Серого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"4130 Clamshell";Серого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"4220 Buttermilk";Бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"4350 Mink";Коричневого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"1141 Pure White";Белого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"2200 Desert Limestone";Бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"4230 Shitake ";Коричневого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"5000 London Grey";Светло-серого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5003 Piatra Grey";Серого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5100 Vanilla Noir";Черного;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5110 Alpine Mist";Светло-серого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5133 Symphony Grey";Коричневого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5141 Frosty Carrina";Светло-бежевого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5211 Noble Grey";Светло-серого;3050;1500;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5212 Taj Royale";Бежевого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5220 Dreamy Marfil";Светло-бежевого;3340;1640;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"6003 Coastal Grey";Серого;3050;1500;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"6046 Moorland Fog";Бежевого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"6131 Bianco Drift";Бежевого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"6338 Woodlands";Черного;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5143 White Attica";Серого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Мраморная
"4011 Cloudburst Concrete Матовый";Светло-серого;3340;1640;20;Caesarstone;"Metropolitan (Caesarstone)";Мраморная
"4023 Topus Concrete Матовый";Бежевого;3340;1640;20;Caesarstone;"Metropolitan (Caesarstone)";Мраморная
"4033 Rugged Concrete Матовый";Серого;3340;1640;20;Caesarstone;"Metropolitan (Caesarstone)";Мраморная
"4044 Airy Concrete Матовый";Серого;3340;1640;20;Caesarstone;"Metropolitan (Caesarstone)";Мраморная
"4046 Excava Матовый";Коричневого;3340;1640;20;Caesarstone;"Metropolitan (Caesarstone)";Мраморная
"5131 Calacatta Nuvo";Светло-серого;3050;1440;20;Caesarstone;"Calacatta (Caesarstone)";Мраморная
"6350 Chocolate Truffle";Коричневого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";"Крупные вкрапления"
"5810 Black Tempal Матовый";Серого;3340;1640;20;Caesarstone;"Metropolitan (Caesarstone)";Мраморная
"4043 Primordia Матовый";Светло-серого;3340;1640;20;Caesarstone;"Metropolitan (Caesarstone)";Мраморная
"4735 Oxidian Матовый";Коричневого;3340;1640;20;Caesarstone;"Metropolitan (Caesarstone)";Мраморная
"4255 Crème Brule";Бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"4360 Wild Rice";Коричневого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"5104 Tuscan Down";Коричневого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
